participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
7182,si,"Sinhalese, Sinhala (සිංහල)",රොස,rosa,ROSA,rgb,255,0,109,1,0,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",කොළ,kola,KOLA,rgb,0,255,73,1,1,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",තැඹිලි,thambili,THAMBILI,rgb,255,46,0,1,2,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",ලාකොළ,la  kola,LA  KOLA,rgb,0,255,108,1,3,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",තදකොළ,thada kola,THADA KOLA,rgb,0,255,125,1,4,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",තදනිල,thada nil,THADA NIL,rgb,0,96,255,1,5,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",තදරොස,thada rosa,THADA ROSA,rgb,255,0,116,1,6,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",කහ,kaha,KAHA,rgb,255,204,0,1,7,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",ලානිල,la nil,LA NIL,rgb,0,159,255,1,8,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",කොළනිල,kola nil,KOLA NIL,rgb,0,255,197,1,9,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",දමරොස,dam rosa,DAM ROSA,rgb,255,0,184,1,10,line,white,en,,1.1.2,
7182,si,"Sinhalese, Sinhala (සිංහල)",දම,dam,DAM,rgb,122,0,255,1,11,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",නිල,නිල්,නිල්,rgb,0,118,255,1,0,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",රතු,රතු,රතු,rgb,255,0,61,1,1,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",කහ,කහ,කහ,rgb,182,255,0,1,2,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",නිල,නිල්,නිල්,rgb,58,0,255,1,3,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",කොළ,කොළ,කොළ,rgb,0,255,111,1,4,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",රොස,රෝස,රෝස,rgb,255,0,119,1,5,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",දම,දම්,දම්,rgb,123,0,255,1,6,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",කහ,කහ,කහ,rgb,239,255,0,1,7,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",රොස,රෝස,රෝස,rgb,255,0,215,1,8,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",නිල,නිල්,නිල්,rgb,0,101,255,1,9,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",නිල,නිල්,නිල්,rgb,0,38,255,1,10,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",රොස,රෝස,රෝස,rgb,255,0,103,1,11,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",නිල,නිල්,නිල්,rgb,0,184,255,3,0,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",කොළ,කොළ,කොළ,rgb,0,255,192,3,1,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",කහ,කහ,කහ,rgb,116,255,0,3,2,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",රොස,රෝස,රෝස,rgb,233,0,255,3,3,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",රතු,රතු,රතු,rgb,255,37,0,3,4,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",නිල,නිල්,නිල්,rgb,0,239,255,3,5,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",රොස,රෝස,රෝස,rgb,255,0,164,3,6,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",කොළ,කොළ,කොළ,rgb,0,255,18,3,7,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",කොළ,කොළ,කොළ,rgb,0,255,167,3,8,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",තැඹිලි,තැඹිලි,තැඹිලි,rgb,255,197,0,3,9,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",කහ,කහ,කහ,rgb,255,233,0,3,10,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",රොස,රෝස,රෝස,rgb,255,0,200,3,11,line,white,en,,1.1.2,
7426,si,"Sinhalese, Sinhala (සිංහල)",නිල,නිල්,නිල්,rgb,0,73,255,6,0,line,white,en,,1.1.2,
