participantId,langAbv,lang,name,standardized_entered_name,entered_name,colorSpace,r,g,b,trialNum,tileNum,rgbSet,background,instructionsLocale,browserLocale,studyVersion,originalLangAbv
5313,ar,Arabic (العربية),,ahmar,ahmar,rgb,255,0,38,1,0,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,azrak,azrak,rgb,0,181,255,1,1,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,azrak,azrak,rgb,0,255,242,1,2,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,azrak,azrak,rgb,0,205,255,1,3,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,asfar,asfar,rgb,255,198,0,1,4,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,werdy,werdy,rgb,255,0,189,1,5,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,benefsegy,benefsegy,rgb,143,0,255,1,6,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,akhthar,akhthar,rgb,99,255,0,1,7,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,azrak,azrak,rgb,0,6,255,1,8,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,azrak,azrak,rgb,0,38,255,1,9,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,burtiqaly,burtiqaly,rgb,255,79,0,1,10,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,werdy,werdy,rgb,255,0,64,1,11,line,white,en,,1.1.2,
5313,ar,Arabic (العربية),,azrak,azrak,rgb,0,142,255,3,0,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,green,green,rgb,0,255,67,1,0,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,red,red,rgb,255,0,40,1,1,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,orange,orange,rgb,255,180,0,1,2,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,blue,blue,rgb,0,140,255,1,3,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,purple,purple,rgb,168,0,255,1,4,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,blue,blue,rgb,0,65,255,1,5,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,blue,blue,rgb,0,85,255,1,6,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,yellow,yellow,rgb,255,218,0,1,7,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,sky blue,sky blue,rgb,0,225,255,1,8,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,light green,light green,rgb,156,255,0,1,9,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,blue,blue,rgb,0,93,255,1,10,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,pink,pink,rgb,255,0,120,1,11,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,cyan,cyan,rgb,0,255,237,1,0,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,light blue,light blue,rgb,0,204,255,1,1,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,blue,blue,rgb,0,110,255,1,2,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,cyan,cyan,rgb,0,217,255,1,3,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,musard,musard,rgb,255,121,0,1,4,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,ping,ping,rgb,255,0,171,1,5,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,blue,blue,rgb,0,129,255,1,6,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,purple,purple,rgb,117,0,255,1,7,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,orange,orange,rgb,255,83,0,1,8,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,royal blue,royal blue,rgb,48,0,255,1,9,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,ping,ping,rgb,255,0,182,1,10,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,green,green,rgb,87,255,0,1,11,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,yellow,yellow,rgb,255,205,0,3,0,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,light green,light green,rgb,0,255,56,3,1,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,pink,pink,rgb,255,0,107,3,2,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,orange,orange,rgb,255,43,0,3,3,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,ping,ping,rgb,255,0,56,3,4,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,cyan,cyan,rgb,0,255,211,3,5,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,bright yellow,bright yellow,rgb,255,255,0,3,6,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,bright green,bright green,rgb,149,255,0,3,7,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,cyan,cyan,rgb,0,243,255,3,8,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,red,red,rgb,255,0,23,3,9,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,blue,blue,rgb,0,140,255,3,10,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,cyan,cyan,rgb,0,255,162,3,11,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,yellow,yellow,rgb,255,237,0,6,0,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,dark yellow,dark yellow,rgb,255,157,0,6,1,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,blue,blue,rgb,0,162,255,6,2,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,hazel,hazel,rgb,0,255,144,6,3,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,ping,ping,rgb,220,0,255,6,4,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,navy,navy,rgb,0,45,255,6,5,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,ping,ping,rgb,255,0,113,6,6,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,purple,purple,rgb,163,0,255,6,7,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,light ping,light ping,rgb,255,0,234,6,8,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,blue,blue,rgb,0,86,255,6,9,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,yellow green,yellow -green,rgb,188,255,0,6,10,line,white,en,,1.1.2,
5690,ar,Arabic (العربية),,green,green,rgb,0,255,110,6,11,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,red,red,rgb,255,0,44,1,0,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,green,green,rgb,193,255,0,1,1,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,37,255,1,2,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,255,238,1,3,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,255,206,1,4,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,green,green,rgb,0,255,165,1,5,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,red,red,rgb,255,0,110,1,7,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,pink,pink,rgb,255,0,134,1,8,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,purple,purple,rgb,233,0,255,1,9,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,147,255,1,10,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,193,255,1,11,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,orange,orange,rgb,255,174,0,3,0,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,89,0,255,3,1,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,red,red,rgb,255,67,0,3,2,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,red,red,rgb,255,86,0,3,3,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,pink,pink,rgb,255,0,145,3,4,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,purple,purple,rgb,216,0,255,3,5,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,yellow,yellow,rgb,255,218,0,3,6,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,green,green,rgb,155,255,0,3,7,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,168,255,3,8,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,green,green,rgb,0,255,84,3,9,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,green,green,rgb,0,255,152,3,10,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,229,255,3,11,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,yellow,yellow,rgb,253,255,0,6,0,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,red,red,rgb,255,121,0,6,1,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,119,255,6,2,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,red,red,rgb,255,0,49,6,3,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,135,0,255,6,4,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,108,255,6,5,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,pink,pink,rgb,255,0,185,6,6,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,green,green,rgb,89,255,0,6,7,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,79,255,6,8,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,pink,pink,rgb,255,0,218,6,9,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,green,green,rgb,0,255,25,6,10,line,white,en,,1.1.2,
6043,ar,Arabic (العربية),,blue,blue,rgb,0,247,255,6,11,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,orange,orange,rgb,255,67,0,1,0,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,azure,azure,rgb,0,126,255,1,1,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,blue magenta violet,blue-magenta violet,rgb,109,0,255,1,2,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,battery charged blue,battery charged blue,rgb,0,172,255,1,3,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,deep pink,deep pink,rgb,255,0,133,1,4,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,debian red,debian red,rgb,255,0,83,1,5,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,blue,blue,rgb,0,106,255,1,6,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,electric green,electric green,rgb,64,255,0,1,7,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,electric lime,electric lime,rgb,247,255,0,1,8,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,aqua,aqua,rgb,0,255,180,1,9,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,blue violet,blue-violet,rgb,178,0,255,1,10,line,white,en,,1.1.2,
6575,ar,Arabic (العربية),,byzantine,byzantine,rgb,253,0,255,1,11,line,white,en,,1.1.2,
8404,ar,Arabic (العربية),,pink,pink,rgb,255,0,150,1,1,line,white,en,,1.1.2,
0,ar,Arabic (العربية),,yellow,yellow,rgb,233,255,0,1,0,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,green,green,rgb,210,255,0,1,1,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,red,red,rgb,255,0,65,1,2,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,blue,blue,rgb,0,30,255,1,3,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,blue sky,blue sky,rgb,0,195,255,1,4,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,purple,purple,rgb,111,0,255,1,5,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,green,green,rgb,0,255,155,1,6,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,blue,blue,rgb,0,92,255,1,7,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,green,green,rgb,173,255,0,1,8,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,pink,pink,rgb,228,0,255,1,9,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,pink,pink,rgb,255,0,139,1,10,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,purple,purple,rgb,209,0,255,1,11,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,red,Red,rgb,255,0,58,1,0,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,sky blue,Sky blue,rgb,0,199,255,1,1,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,turquoise,Turquoise,rgb,0,255,228,1,2,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,blue,Blue,rgb,0,172,255,1,3,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,pink,Pink,rgb,255,0,147,1,4,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,purple,Purple,rgb,155,0,255,1,5,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,green,Green,rgb,0,255,111,1,6,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,sky blue,Sky blue,rgb,0,208,255,1,7,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,dark blue,Dark blue,rgb,0,80,255,1,8,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,pink,Pink,rgb,255,0,130,1,9,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,greenish blue,Greenish blue,rgb,0,255,219,1,10,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,orange,Orange,rgb,255,111,0,1,11,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,green,Green,rgb,0,255,187,3,0,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,pink,Pink,rgb,255,0,219,3,1,line,white,en,,1.1.5,
0,ar,Arabic (العربية),,purple,Purple,rgb,129,0,255,3,2,line,white,en,,1.1.5,
